year,lake_level
1850,6407
1851,6406
1852,6405
1853,6408
1854,6408
1855,6407
1856,6407
1857,6407
1858,6406
1859,6405
1860,6405
1861,6404
1862,6411
1863,6410
1864,6408
1865,6407
1866,6406
1867,6409
1868,6412
1869,6412
1870,6411
1871,6412
1872,6412
1873,6412
1874,6412
1875,6412
1876,6412
1877,6412
1878,6412
1879,6413
1880,6413
1881,6413
1882,6412
1883,6411
1884,6409
1885,6409
1886,6409
1887,6409
1888,6409
1889,6409
1890,6410
1891,6412
1892,6413
1893,6413
1894,6416
1895,6416
1896,6416
1897,6417
1898,6416
1899,6416
1900,6416
1901,6415
1902,6416
1903,6416
1904,6416
1905,6417
1906,6417
1907,6420
1908,6421
1909,6420
1910,6421
1911,6422
1912,6423
1913,6423
1914,6425
1915,6426
1916,6426
1917,6426
1918,6427
1919,6427
1920,6426
1921,6426
1922,6426
1923,6426
1924,6425
1925,6424
1926,6423
1927,6423
1928,6422
1929,6421
1930,6420
1931,6418
1932,6418
1933,6417
1934,6415
1935,6415
1936,6415
1937,6415
1938,6418
1939,6418
1940,6417
1941,6417
1942,6418
1943,6418
1944,6417
1945,6417
1946,6417
1947,6416
1948,6414
1949,6412
1950,6410
1951,6408
1952,6409
1953,6408
1954,6405
1955,6403
1956,6402
1957,6401
1958,6402
1959,6400
1960,6398
1961,6396
1962,6394
1963,6393
1964,6391
1965,6389
1966,6387
1967,6389
1968,6387
1969,6389
1970,6388
1971,6386
1972,6384
1973,6383
1974,6381
1975,6379
1976,6378
1977,6376
1978,6375
1979,6373.4
1980,6373.9
1981,6372.3
1982,6372.8
1983,6378.6
1984,6380.1
1985,6378.7
1986,6380.2
1987,6379
1988,6377.3
1989,6375.4
1990,6375.2
1991,6374.3
1992,6373.7
1993,6374.8
1994,6374.6
1995,6377.8
1996,6379.7
1997,6382
1998,6384.3
1999,6384.4
2000,6383.8
2001,6382.8
2002,6381.8
2003,6381.6
2004,6380.8
2005,6382
2006,6384.5
2007,6383.1
2008,6382.3
2009,6381.7
2010,6381.6
2011,6383.7
2012,6382.4
2013,6380.6
2014,6379.3
2015,6378.2
2016,6377.33
2017,6381.47
